Country,Regioncode,Region,Variable,Year,AGR,MIN,MAN,PU,CON,WRT,TRA,FIRE,GOV,OTH,SUM
BWA,SSA,Sub-saharan Africa,VA,1960,,,,,,,,,,,
BWA,SSA,Sub-saharan Africa,VA,1961,,,,,,,,,,,
BWA,SSA,Sub-saharan Africa,VA,1962,,,,,,,,,,,
BWA,SSA,Sub-saharan Africa,VA,1963,,,,,,,,,,,
BWA,SSA,Sub-saharan Africa,VA,1964,16.30154376702977,3.494075438979626,.7365696432963852,.1043935803014549,.660045374223713,6.243731693533435,1.658928281745528,1.119193880353666,4.822484628655141,2.341328287013014,37.48229457513173
BWA,SSA,Sub-saharan Africa,VA,1965,15.72699712291104,2.495768170699733,1.018199212792062,.1350975745077652,1.346231159307771,7.064825176518654,1.939007082559708,1.246789256771747,5.695847986600561,2.678337661658827,39.34710040432787
BWA,SSA,Sub-saharan Africa,VA,1966,17.68066136178197,1.970343292657684,.8038414837832067,.2026463617616477,1.346231159307771,8.271014840802327,2.154452313955231,1.358192615530205,6.365947749730039,2.993436210089278,43.14676738939937
BWA,SSA,Sub-saharan Africa,VA,1967,19.14590954093518,2.298733841433964,.9378150644137413,.2026463617616477,.897487439538514,4.307820229584546,1.723561851164185,1.536629747103593,7.036047512859517,3.308534758519728,41.39518634731461
BWA,SSA,Sub-saharan Africa,VA,1968,21.09957377980611,1.838987073147171,.7502520515309931,.2026463617616477,1.218018667945126,5.169384275501455,2.441712622482595,1.03302840141418,5.025748223471084,2.363239113228377,41.14259057028873
BWA,SSA,Sub-saharan Africa,VA,1969,21.86220897666657,5.244518690086377,2.139607702514313,.5779174020609953,3.473608793769433,5.752024709430875,2.716917642282791,1.232997258773426,5.592199462087728,2.629599396973541,51.22160003464605
BWA,SSA,Sub-saharan Africa,VA,1970,23.13326763810068,10.18253953464822,4.154173396440128,1.122060410495049,6.744214476214679,6.743753107608612,3.185351718538445,1.534816511133886,6.556371783137337,3.08297860334829,66.43952717966533
BWA,SSA,Sub-saharan Africa,VA,1971,24.79487907043858,9.004609821989879,6.720161239179571,1.411155476139345,9.135152721514979,9.01822785506328,3.976806097362029,2.16536945242134,8.500321061319363,3.842922299626774,78.56960509505515
BWA,SSA,Sub-saharan Africa,VA,1972,34.72938743263676,12.8749290436192,9.420786422654782,2.017691713908573,12.46651888256343,12.52725436588062,5.631436044726078,3.43058621013066,11.88509649253626,5.373150262784828,110.3568368714412
BWA,SSA,Sub-saharan Africa,VA,1973,46.40243555692697,17.40058387417354,11.93299630161165,2.726928729559956,15.5358499747502,16.77652158017151,7.712533336894911,5.838864283573322,16.15013900540814,7.301339429209983,147.7781920722802
BWA,SSA,Sub-saharan Africa,VA,1974,54.7225871794495,19.24768444429622,15.5757005014124,3.016396694972888,23.18768048015302,21.64701778379314,8.977434169145708,7.762307226087792,19.85784600564283,8.977561987028595,182.9722164719821
BWA,SSA,Sub-saharan Africa,VA,1975,61.29982121544103,21.65364499983324,23.13222846744416,6.307011271306949,23.18768048015302,26.72287022964807,8.977434169145708,11.32586769260065,27.02873484101385,10.14854833316276,219.7838416997494
BWA,SSA,Sub-saharan Africa,VA,1976,65.77234035991526,44.63056830521185,31.45983071572406,10.14606161036335,30.34009933472759,35.38167734316533,17.47607184927031,12.6192281182392,40.17536437252739,16.78413762792303,304.7853796370674
BWA,SSA,Sub-saharan Africa,VA,1977,74.36659283361085,55.57768883290533,38.09106954305806,8.409348361742596,32.18588484558553,43.74190490104406,17.35637272701503,14.67467083605535,52.21878023706076,12.88084980747581,349.5031629255533
BWA,SSA,Sub-saharan Africa,VA,1978,76.2959148175017,74.46447919387099,36.70313583501142,9.140596045372389,46.02927617702017,48.96704712471826,21.78524025046024,15.37621198794079,58.10258646095494,15.22282249974414,402.087310392595
BWA,SSA,Sub-saharan Africa,VA,1979,81.29461268485525,156.8686282210142,64.77023970884368,10.51168545217825,49.60548560430746,60.31307023898225,19.87005429437583,21.05075738666236,78.05236693884612,18.73578153814664,561.0726820682121
BWA,SSA,Sub-saharan Africa,VA,1980,87.95954317466,288.3543725811127,43.64280437524467,13.71089406805858,67.02508636302939,94.05256002613569,20.46854990565221,31.2872245820152,92.48607908183651,20.29709666632552,759.2842108240704
BWA,SSA,Sub-saharan Africa,VA,1981,95.67683111022339,290.2791410255423,74.48577566517024,17.64135036756871,79.59950015574918,96.4411964712439,26.09440865165018,28.81211350255126,124.1115375352677,30.05531621744356,863.1971707024103
BWA,SSA,Sub-saharan Africa,VA,1982,99.09699280893899,242.5208239981323,107.7961846582899,19.92649937891181,61.14164504716966,115.5502880321096,29.92478056381902,32.94947892977569,143.6935801241655,34.3489328199355,886.9492063612479
BWA,SSA,Sub-saharan Africa,VA,1983,89.18729352804509,441.0125698299371,119.362298892012,27.14757025475599,66.90972476860075,115.6995778099288,45.0068699679838,37.97005595416141,176.0545143555834,57.37833096057406,1175.728806321582
BWA,SSA,Sub-saharan Africa,VA,1984,90.76582969668306,561.0700015512347,124.2971742984,29.52412522655281,109.3627915183337,131.3750044809514,49.55543661368429,47.30469628621496,206.4848246697861,40.20386455060632,1389.943748892447
