MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,196013,29.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196113,29.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196213,30.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196313,30.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196413,31,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196513,31.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196613,32.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196713,33.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196813,34.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,196913,36.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197013,38.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197113,40.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197213,41.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197313,44.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197413,49.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197513,53.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197613,56.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197713,60.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197813,65.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,197913,72.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198013,82.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198113,90.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198213,96.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198313,99.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198413,103.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198513,107.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198613,109.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198713,113.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,198813,118.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
