STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SECT_PERF,Sector of performance,SECT_FUND,Sources of funds,TYPE_COST,Type of expenditure,TYPE_RD,Type of R&D,FORD,Field of R&D,SEO,Socio-economic objectives,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,2012,,15177.68963,,B,Time series break,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2012,,5401.974043,,P,Provisional value,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,NZL,New Zealand,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,2005,,1189.315579,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,NZL,New Zealand,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,2007,,1435.279434,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2020,,4063.512748,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2021,,4331.520828,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2022,,4777.961773,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,1996,,2001.777948,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,1997,,2175.013631,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_TOE(1.0),Gross domestic expenditure on R&D by sector of performance and type of expenditure,I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),_T,Total,_Z,Not applicable,_T,Total costs,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",Q,Constant prices,1998,,2214.005735,,,,,,,,,,,,,,,,6,Millions,2015,,,,3,Three
