"COUNTRY","FUNCTION","GENDER","MEASURE","OBS_STATUS","ObsValue","POWERCODE","SECTPERF","TIME_FORMAT","Time","UNIT"
"DEU","RSE","_T","FTE",,"128200","0","_T","P1Y","1981","FTE"
"DEU","RSE","_T","FTE",,"134525","0","_T","P1Y","1983","FTE"
"DEU","RSE","_T","FTE",,"147419","0","_T","P1Y","1985","FTE"
"DEU","RSE","_T","FTE","B","165616","0","_T","P1Y","1987","FTE"
"DEU","RSE","_T","FTE",,"176402","0","_T","P1Y","1989","FTE"
"DEU","RSE","_T","FTE","B","241869","0","_T","P1Y","1991","FTE"
"DEU","RSE","_T","FTE",,"230107","0","_T","P1Y","1993","FTE"
"DEU","RSE","_T","FTE",,"231128","0","_T","P1Y","1995","FTE"
"DEU","RSE","_T","FTE","E","230189","0","_T","P1Y","1996","FTE"
"DEU","RSE","_T","FTE",,"235793","0","_T","P1Y","1997","FTE"
"DEU","RSE","_T","FTE","E","237712","0","_T","P1Y","1998","FTE"
"DEU","RSE","_T","FTE",,"254691","0","_T","P1Y","1999","FTE"
"DEU","RSE","_T","FTE","E","257874","0","_T","P1Y","2000","FTE"
"DEU","RSE","_T","FTE",,"264385","0","_T","P1Y","2001","FTE"
"DEU","RSE","_T","FTE","E","265812","0","_T","P1Y","2002","FTE"
"DEU","RSE","_T","FTE",,"268942","0","_T","P1Y","2003","FTE"
"DEU","RSE","_T","FTE",,"270215","0","_T","P1Y","2004","FTE"
"DEU","RSE","_T","FTE",,"272148","0","_T","P1Y","2005","FTE"
"DEU","RSE","_T","FTE",,"279822","0","_T","P1Y","2006","FTE"
"DEU","RSE","_T","FTE",,"290853","0","_T","P1Y","2007","FTE"
"DEU","RSE","_T","FTE","E","302641","0","_T","P1Y","2008","FTE"
"DEU","RSE","_T","FTE",,"317307","0","_T","P1Y","2009","FTE"
"DEU","RSE","_T","FTE","E","327996","0","_T","P1Y","2010","FTE"
"DEU","RSE","_T","FTE",,"338689","0","_T","P1Y","2011","FTE"
"DEU","RSE","_T","FTE",,"352419","0","_T","P1Y","2012","FTE"
"DEU","RSE","_T","FTE",,"354463","0","_T","P1Y","2013","FTE"
"DEU","RSE","_T","FTE",,"351923","0","_T","P1Y","2014","FTE"
"DEU","RSE","_T","FTE",,"387982","0","_T","P1Y","2015","FTE"
"DEU","RSE","_T","FTE",,"399605","0","_T","P1Y","2016","FTE"
"DEU","RSE","_T","FTE",,"419617","0","_T","P1Y","2017","FTE"
"DEU","RSE","_T","FTE",,"433685.036","0","_T","P1Y","2018","FTE"
"DEU","RSE","_T","FTE",,"450697.27","0","_T","P1Y","2019","FTE"
"DEU","RSE","_T","FTE",,"450796.444","0","_T","P1Y","2020","FTE"
"DEU","RSE","_T","FTE",,"461645","0","_T","P1Y","2021","FTE"
"JPN","RSE","_T","FTE","D","392625","0","_T","P1Y","1981","FTE"
"JPN","RSE","_T","FTE","D","406042","0","_T","P1Y","1982","FTE"
"JPN","RSE","_T","FTE","D","435340","0","_T","P1Y","1983","FTE"
"JPN","RSE","_T","FTE","D","447719","0","_T","P1Y","1984","FTE"
"JPN","RSE","_T","FTE","D","473296","0","_T","P1Y","1985","FTE"
"JPN","RSE","_T","FTE","D","487779","0","_T","P1Y","1986","FTE"
"JPN","RSE","_T","FTE","D","513267","0","_T","P1Y","1987","FTE"
"JPN","RSE","_T","FTE","D","535008","0","_T","P1Y","1988","FTE"
"JPN","RSE","_T","FTE","D","560276","0","_T","P1Y","1989","FTE"
"JPN","RSE","_T","FTE","D","582815","0","_T","P1Y","1990","FTE"
"JPN","RSE","_T","FTE","D","598333","0","_T","P1Y","1991","FTE"
"JPN","RSE","_T","FTE","D","622410","0","_T","P1Y","1992","FTE"
"JPN","RSE","_T","FTE","D","641083","0","_T","P1Y","1993","FTE"
"JPN","RSE","_T","FTE","D","658866","0","_T","P1Y","1994","FTE"
"JPN","RSE","_T","FTE","D","673421","0","_T","P1Y","1995","FTE"
"JPN","RSE","_T","FTE","BD","617365","0","_T","P1Y","1996","FTE"
"JPN","RSE","_T","FTE","D","625442","0","_T","P1Y","1997","FTE"
"JPN","RSE","_T","FTE","D","652845","0","_T","P1Y","1998","FTE"
"JPN","RSE","_T","FTE","D","658910","0","_T","P1Y","1999","FTE"
"JPN","RSE","_T","FTE","D","647572","0","_T","P1Y","2000","FTE"
"JPN","RSE","_T","FTE","D","653021","0","_T","P1Y","2001","FTE"
"JPN","RSE","_T","FTE","D","623035","0","_T","P1Y","2002","FTE"
"JPN","RSE","_T","FTE","D","652369","0","_T","P1Y","2003","FTE"
"JPN","RSE","_T","FTE","D","653747","0","_T","P1Y","2004","FTE"
"JPN","RSE","_T","FTE","D","680631","0","_T","P1Y","2005","FTE"
"JPN","RSE","_T","FTE","D","684884","0","_T","P1Y","2006","FTE"
"JPN","RSE","_T","FTE","D","684311","0","_T","P1Y","2007","FTE"
"JPN","RSE","_T","FTE","BD","656676","0","_T","P1Y","2008","FTE"
"JPN","RSE","_T","FTE","D","655530","0","_T","P1Y","2009","FTE"
"JPN","RSE","_T","FTE","D","656032","0","_T","P1Y","2010","FTE"
"JPN","RSE","_T","FTE","D","656651","0","_T","P1Y","2011","FTE"
"JPN","RSE","_T","FTE","D","646347","0","_T","P1Y","2012","FTE"
"JPN","RSE","_T","FTE","BD","660489","0","_T","P1Y","2013","FTE"
"JPN","RSE","_T","FTE","D","682935","0","_T","P1Y","2014","FTE"
"JPN","RSE","_T","FTE","D","662071","0","_T","P1Y","2015","FTE"
"JPN","RSE","_T","FTE","D","665566","0","_T","P1Y","2016","FTE"
"JPN","RSE","_T","FTE","D","676292","0","_T","P1Y","2017","FTE"
"JPN","RSE","_T","FTE","BD","678134","0","_T","P1Y","2018","FTE"
"JPN","RSE","_T","FTE","D","681821","0","_T","P1Y","2019","FTE"
"JPN","RSE","_T","FTE","D","689889","0","_T","P1Y","2020","FTE"
"JPN","RSE","_T","FTE","D","704502","0","_T","P1Y","2021","FTE"
"KOR","RSE","_T","FTE","D","100456","0","_T","P1Y","1995","FTE"
"KOR","RSE","_T","FTE","D","99433","0","_T","P1Y","1996","FTE"
"KOR","RSE","_T","FTE","D","102660","0","_T","P1Y","1997","FTE"
"KOR","RSE","_T","FTE","D","92541","0","_T","P1Y","1998","FTE"
"KOR","RSE","_T","FTE","D","100210","0","_T","P1Y","1999","FTE"
"KOR","RSE","_T","FTE","D","108370","0","_T","P1Y","2000","FTE"
"KOR","RSE","_T","FTE","D","136337","0","_T","P1Y","2001","FTE"
