year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,debtgdp,revenue,expenditure,xrusd,peg,peg_strict,crisisJST,tloans,tmort,thh,tbus,hpnom,peg_type,peg_base,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr
1870,Australia,AUS,193,1775,3273.239436619719,13.83615655775572,21.44973424756727,208.78,.1092656,2.708333,-6.147593999999998,36,37,23.3,54.3,4.88,4.911817,.172568,,,.3669461470654558,1,1,0,54.792,1.68,1.68,53.112,.492252613624,PEG,GBR,-.0049038953,,,.048799999,,,,,,-.070045434,.071417034,,,,.049118169,.066414595,,,
1871,Australia,AUS,193,1675,3298.507462686567,13.93686449015588,19.93080127997157,211.56,.1045791,2.666667,5.260773999999998,34,46,27.2,59.5,4.6,4.844633,.191799,,,.3691464495849117,1,1,0,53.748,1.766,1.766,51.982,.4698774948229091,PEG,GBR,.11019297,,,.046,,,-.045456301,,,.041653629,.065466382,,,,.048446331,.068193294,,,
1872,Australia,AUS,193,1722,3553.4262485482,15.04424689054802,21.08500566264307,227.4,.130438,2.541667,7.867636000000001,38,53,36.2,68.5,4.6,4.73735,.15492,,,.3692388092701654,1,1,0,55.822,1.47,1.47,54.352,.484794240690303,PEG,GBR,.1767493,,,.046,,,.031746607,,,.10894547,.062997349,,,,.0473735,.069860622,,,
1873,Australia,AUS,193,1769,3823.629169022046,16.21944267255634,23.25490990206551,266.54,.1249862,2.541667,-11.0478328,49,50,38.6,73.7,4.399999999999999,4.671958,.142692,,,.3624047757834013,1,1,0,65.38000000000001,1.364,1.364,64.01600000000001,.4698774948229091,PEG,GBR,.15168582,,,.044,,,-.030769771,,,.083086468,.064484186,,,,.046719581,.069841951,,,
1874,Australia,AUS,193,1822,3834.796926454445,16.26822782171903,23.45804987341569,287.58,.1419599,2.666667,-5.5639588,49,54,37.9,79.3,4.5,4.653317,.194322,,,.3722234551213509,1,1,0,71.47799999999999,1.434,1.434,70.044,.5668363429609697,PEG,GBR,.1914814,,,.045000002,,,.20634975,,,.11938886,.06350296,,,,.046533171,.071084507,,,
1875,Australia,AUS,193,1874,4138.20704375667,17.59210697327091,25.6695054706143,300.74,.160564,2.75,-7.908736800000002,50,52,37.5,88.5,4.6,4.507325,.233687,,,.3609256158331147,1,1,0,79.95399999999999,1.564,1.564,78.39,.5668363429609697,PEG,GBR,.12440787,,,.046,,,0,,,.057058729,.063642979,,,,.045073248,.067274369,,,
1876,Australia,AUS,193,1929,4007.257646448937,17.0190332916129,24.80616059237601,311.26,.1678778,2.791667,-6.952112800000002,48,51,38.2,95.8,4.6,4.565908,.158506,,,.3720217079912038,1,1,0,86.206,1.86,1.86,84.346,.5220861053587879,PEG,GBR,.11881457,,,.046,,,-.078947,,,.05410355,.060222581,,,,.04565908,.063480839,,,
1877,Australia,AUS,193,1995,4036.090225563909,17.14565200863059,25.21705735260707,313.66,.2099336,2.875,-14.6247988,52,51,40.2,105.7,4.5,4.38885,.176092,,,.3999106798481558,1,1,0,101.036,2.42,2.42,98.616,.5220861053587879,PEG,GBR,.13659137,,,.045000002,,,0,,,.074441969,.05730547,,,,.043888502,.061571401,,,
1878,Australia,AUS,193,2062,4277.400581959263,18.20526139988415,26.5605512540367,324.3,.181141,2.833333,-16.3359228,52,50,38.7,106.2,4.8,4.4428,.172852,,,.4125728811507656,1,1,0,106.648,2.754,2.754,103.894,.5892114617620606,PEG,GBR,-.078937359,,,.048,,,.12857077,,,-.13273652,.064480469,,,,.044427998,.055921555,,,
1879,Australia,AUS,193,2127,4204.983544898918,17.88724700430495,26.51899989626053,334.44,.1615086,2.75,-12.3326728,48,44,37.2,108.3,4.9,4.60335,.208934,,,.4150882566293221,1,1,0,102.726,2.9,2.9,99.82599999999999,.6041282076294545,PEG,GBR,.12413586,,,.048999999,,,.025316907,,,.0600705,.060416788,,,,.046033502,.064046055,,,
1880,Australia,AUS,193,2197,4285.389167045972,18.24058508672602,25.6695054706143,344.32,.1764724,2.666667,.7857892000000009,46,59,44.6,114.8,4.7,4.409408,.222212,,,.4125225389854357,1,1,0,94.008,2.996,2.996,91.012,.5742947158946666,PEG,GBR,.11423738,,,.046999998,,,-.049381919,,,.054149803,.056845762,,,,.044094078,.059923947,,,
1881,Australia,AUS,193,2269,4454.825914499779,18.98541893047757,27.78862471719918,362.82,.2123455,2.625,-20.8488468,58,54,57.3,134,4.7,3.7815,.232202,,,.415874878239073,1,1,0,115.8,3.834,3.834,111.966,.5742947158946666,PEG,GBR,.072694525,,,.046999998,,,0,,,.020001946,.05190045,,,,.037815001,.052938562,,,
1882,Australia,AUS,193,2348,4062.606473594548,17.25567162925268,26.85141075846992,382.32,.1805267,2.666667,-30.3118248,72,57,55.6,149.3,4.5,3.8220916,.23255,,,.4124365263221646,1,1,0,144.204,4.328,4.328,139.876,.5989073465758666,PEG,GBR,.090304211,,,.045000002,,,.042856023,,,.037006706,.050786007,,,,.038220916,.052665431,,,
1883,Australia,AUS,193,2447,4475.275847977116,19.08238194478848,28.61503505519198,412.1,.187123,2.958333,-26.8269116,71,63,52.4,155.9,4.7,4.016817,.24091,,,.4131763213548113,1,1,0,156.068,4.946,4.946,151.122,.6235199772570666,PEG,GBR,.28716499,,,.046999998,,,.041096531,,,.219,.05591879,,,,.04016817,.068165004,,,
1884,Australia,AUS,193,2556,4303.599374021909,18.31771015656413,28.03793286385623,430.46,.2035062,3,-32.1199336,74,55,56.6,171.9,4.9,3.996425,.293268,,,.4137967507243865,1,1,0,166.832,5.052,5.052,161.78,.6563368181653333,PEG,GBR,.044,,,.048999999,,,.052631833,,,-.017000001,.062054928,,,,.039964251,.060999993,,,
1885,Australia,AUS,193,2650,4422.264150943397,18.84139140504498,28.85049274925697,441.62,.1862147,3,-48.4419816,80,53,61.8,182.9,4.8,4.03225,.312289,,,.4130946605085957,1,1,0,184.046,5.428,5.428,178.618,.6891536590735999,PEG,GBR,.11300001,,,.048,,,.050000228,,,.046999998,.063037246,,,,.040322501,.066,,,
1886,Australia,AUS,193,2741,4329.441809558555,18.43228440729477,28.56425006235444,452.9,.2182139,3,-44.0124736,68,42,58.5,186.3,4.7,4.01905,.342074,,,.4121250083411612,1,1,0,191.218,5.9,5.9,185.318,.7301747102089333,PEG,GBR,.029000001,,,.046999998,,,.059523705,,,-.035999998,.067427389,,,,.040190499,.065000005,,,
1887,Australia,AUS,193,2835,4631.746031746032,19.76355218102274,30.28632300130032,472.52,.2019936,2.916667,-30.0829576,59,48,66.3,199.7,4.6,3.5752833,.325023,,,.4144716820558825,1,1,0,198.792,5.958,5.958,192.834,.7793999715713333,PEG,GBR,.28200001,,,.046,,,.067415349,,,.206,.06301824,,,,.035752833,.075999998,,,
