year,pop,ln_pop,n,pop_bil
-1000000,.125,-2.0794415,2.9706307e-06,.00012500001
-300000,1,0,4.3853483e-06,.001
-25000,3.3399999,1.2059708,.000012021574,.0033399998
-10000,4,1.3862944,.000044628716,.0040000002
-5000,5,1.6094379,.00033647215,.0049999999
-4000,7,1.9459101,.0006931473,.0070000002
-3000,14,2.6390574,.00065677951,.014
-2000,27,3.2958369,.00061618612,.027000001
-1000,50,3.9120231,.0013862944,.050000001
-500,100,4.6051702,.0013515505,.1
-200,150,5.0106354,.00062270189,.15000001
1,170,5.1357985,.00055892265,.17
200,190,5.2470241,0,.19
400,190,5.2470241,.00025646685,.19
600,200,5.2983174,.00047655107,.2
800,220,5.3936276,.00093051197,.22
1000,265,5.57973,.0018859101,.26499999
1100,320,5.768321,.0011778307,.31999999
1200,360,5.8861041,0,.36000001
1300,360,5.8861041,-.00028171061,.36000001
1400,350,5.857933,.0019415617,.34999999
1500,425,6.0520892,.0024869679,.42500001
1600,545,6.300786,0,.54500002
1650,545,6.300786,.002253456,.54500002
1700,610,6.4134588,.0033158492,.61000001
1750,720,6.5792513,.0044628717,.72000003
1800,900,6.8023949,.005753641,.89999998
1850,1200,7.0900769,.0039636423,1.2
1875,1325,7.189168,.0081637958,1.325
1900,1625,7.3932629,.0054737567,1.625
1920,1813,7.502738,.0091643333,1.813
1930,1987,7.5943813,.010772323,1.987
1940,2213,7.7021046,.012832117,2.2130001
1950,2516,7.8304257,.018225526,2.516
1960,3019,8.012681,.020151328,3.0190001
1970,3693,8.2141943,.018646527,3.6930001
1980,4450,8.4006596,.018100929,4.4499998
1990,5333,8.5816689,.012961006,5.3330002
2000,6071,8.7112789,.012697133,6.0710001
2011,6981,8.8509474,,6.9809999
