year,austria,belgium,denmark,finland,france,germany,centrenorthitaly,hollandnetherlands,norway,sweden,switzerland,englandgbuk,weurope12,ireland,greece,portugal,spain,smallwec,weurope_all,australia,nzealand,canada,usa,woffshoots,albania,bulgaria,czechoslovakia,hungary,poland,romania,yugoslavia,eeurope,bosnia,croatia,macedonia,slovenia,montenegro,serbia,kosovo,fyugoslavia,czechrep,slovakia,fczechoslovakia,armenia,azerbaijan,belarus,estonia,georgia,kazakhstan,kyrgyzstan,latvia,lithuania,moldova,russia,tajikistan,turkmenistan,ukraine,uzbekistan,fussr,argentina,brazil,chile,colombia,mexico,peru,uruguay,venezuela,lamerica8,bolivia,costarica,cuba,dominicanrep,ecuador,elsalvador,guatemala,hati,honduras,jamaica,nicaragua,panama,paraguay,puertorico,ttobago,lamerica15,caribbean,lamerica_all,china,india,indonesiajavabefore1880,japan,philippines,skorea,thailand,taiwan,bangladesh,burma,hongkong,malaysia,nepal,pakistan,singapore,srilanka,easia16,afghanistan,cambodia,laos,mongolia,northkorea,vietnam,smeasia,easia_all,bahrain,iran,iraq,israel,jordan,kuwait,lebanon,oman,qatar,saudiarabia,syria,turkey,uae,yemen,wbankgaza,wasia,asia,algeria,angola,benin,botswana,burkinafaso,burundi,cameroon,capeverde,centrafrrep,chad,comoroislands,congobrazzaville,ctedivoire,djibouti,egypt,equatorialguinea,eritreaethiopia,gabon,gambia,ghana,guinea,guineabissau,kenya,lesotho,liberia,libya,madagascar,malawi,mali,mauritania,mauritius,morocco,mozambique,namibia,niger,nigeria,rwanda,saotomprincipe,senegal,seychelles,sierraleone,somalia,capecolonysouthafrica,sudan,swaziland,tanzania,togo,tunisia,uganda,congokinshasa,zambia,zimbabwe,smallafr,totalafrica,totalworld
1,,600,,,600,,800,,,,600,600,,,800,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,700,,,,,,,700,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,1620,,,,,742,,,,,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,,,,,,,1515,876,,,,786,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,,,,,,,1751,1195,,,,1099,,,,,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,,,,,,,1373,,,,1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,1467,,,,1146,1533,1454,,,,1086,,,,,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
