location,country,sex,v4,age,v6,var,variant,time,v10,unitcode,unit,powercodecode,powercode,referenceperiodcode,referenceperiod,value,flagcodes,flags
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1950,1950,PER,Persons,3,Thousands,,,49113.559,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1951,1951,PER,Persons,3,Thousands,,,49433.91,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1952,1952,PER,Persons,3,Thousands,,,49727.52,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1953,1953,PER,Persons,3,Thousands,,,50008.039,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1954,1954,PER,Persons,3,Thousands,,,50344.648,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1955,1955,PER,Persons,3,Thousands,,,50703.352,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1956,1956,PER,Persons,3,Thousands,,,51140.559,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1957,1957,PER,Persons,3,Thousands,,,51630.25,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1958,1958,PER,Persons,3,Thousands,,,52225.801,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1959,1959,PER,Persons,3,Thousands,,,52766.141,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1960,1960,PER,Persons,3,Thousands,,,53271.629,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1961,1961,PER,Persons,3,Thousands,,,53808.27,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1962,1962,PER,Persons,3,Thousands,,,54855.051,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1963,1963,PER,Persons,3,Thousands,,,55725.961,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1964,1964,PER,Persons,3,Thousands,,,56592.262,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1965,1965,PER,Persons,3,Thousands,,,57446.59,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1966,1966,PER,Persons,3,Thousands,,,58376.359,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1967,1967,PER,Persons,3,Thousands,,,59341.02,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1968,1968,PER,Persons,3,Thousands,,,60321.352,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1969,1969,PER,Persons,3,Thousands,,,61314.391,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1970,1970,PER,Persons,3,Thousands,,,62415.18,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1971,1971,PER,Persons,3,Thousands,,,63576.75,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1972,1972,PER,Persons,3,Thousands,,,64805.961,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1973,1973,PER,Persons,3,Thousands,,,66005.641,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1974,1974,PER,Persons,3,Thousands,,,67187.156,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1975,1975,PER,Persons,3,Thousands,,,68355.18,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1976,1976,PER,Persons,3,Thousands,,,69589.688,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1977,1977,PER,Persons,3,Thousands,,,70782.156,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1978,1978,PER,Persons,3,Thousands,,,71968.969,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1979,1979,PER,Persons,3,Thousands,,,73139.977,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1980,1980,PER,Persons,3,Thousands,,,73815.594,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1981,1981,PER,Persons,3,Thousands,,,74748.656,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1982,1982,PER,Persons,3,Thousands,,,75567.953,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1983,1983,PER,Persons,3,Thousands,,,76337.453,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1984,1984,PER,Persons,3,Thousands,,,77150.453,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1985,1985,PER,Persons,3,Thousands,,,77963.578,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1986,1986,PER,Persons,3,Thousands,,,78852.773,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1987,1987,PER,Persons,3,Thousands,,,79521.609,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1988,1988,PER,Persons,3,Thousands,,,80137.047,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1989,1989,PER,Persons,3,Thousands,,,80699.398,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1990,1990,PER,Persons,3,Thousands,,,81427.727,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1991,1991,PER,Persons,3,Thousands,,,82321.188,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1992,1992,PER,Persons,3,Thousands,,,83419.227,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1993,1993,PER,Persons,3,Thousands,,,84428.891,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1994,1994,PER,Persons,3,Thousands,,,85487.133,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1995,1995,PER,Persons,3,Thousands,,,86641.609,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1996,1996,PER,Persons,3,Thousands,,,87823.031,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1997,1997,PER,Persons,3,Thousands,,,89154.344,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1998,1998,PER,Persons,3,Thousands,,,90480.477,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,1999,1999,PER,Persons,3,Thousands,,,91801.023,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2000,2000,PER,Persons,3,Thousands,,,93124.383,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2001,2001,PER,Persons,3,Thousands,,,94342.438,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2002,2002,PER,Persons,3,Thousands,,,95472.344,,
