countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,190,105,46,329,304,354,273,119,69,446,391,469,0,2,2,104,112,,
ABW,1971,200,110,49,347,320,373,298,130,75,486,427,511,0,2,2,109,122,,
ABW,1972,211,116,51,365,337,392,325,142,82,530,466,558,0,2,2,115,133,,
ABW,1973,222,123,54,385,355,413,355,155,90,579,508,608,0,2,2,121,145,,
ABW,1974,234,129,57,405,374,435,387,169,98,631,554,664,0,2,2,128,158,,
ABW,1975,246,136,60,427,394,459,422,185,107,689,604,724,0,2,2,134,172,,
ABW,1976,260,143,63,449,415,483,460,201,116,751,659,790,0,2,2,142,188,,
ABW,1977,273,151,67,473,437,509,502,220,127,819,719,861,0,2,2,149,205,,
ABW,1978,288,159,70,499,460,536,548,240,139,894,785,940,0,2,2,157,224,,
ABW,1979,303,167,74,525,485,565,598,261,151,975,856,1025,0,2,2,166,244,,
ABW,1980,320,176,78,553,511,595,652,285,165,1064,934,1118,0,2,2,174,266,,
ABW,1981,337,186,82,583,538,626,711,311,180,1161,1018,1220,0,2,2,184,290,,
ABW,1982,355,195,87,614,567,660,776,339,196,1266,1111,1331,0,2,2,193,317,,
ABW,1983,373,206,91,646,597,695,846,370,214,1381,1212,1452,0,2,2,204,346,,
ABW,1984,393,217,96,681,629,732,923,404,234,1507,1322,1584,0,2,2,215,377,,
ABW,1985,414,228,101,717,662,771,1007,440,255,1644,1442,1728,0,2,2,226,411,,
ABW,1986,436,241,106,755,697,812,1099,480,278,1793,1573,1885,0,2,2,238,449,,
ABW,1987,525,289,128,909,840,977,1276,558,323,2081,1826,2188,0,2,2,286,521,,
ABW,1988,641,354,156,1110,1024,1194,1514,661,383,2469,2168,2596,0,2,2,350,617,,
ABW,1989,748,413,183,1295,1196,1393,1695,743,429,2768,2429,2910,0,2,2,409,693,,
ABW,1990,826,454,202,1429,1325,1532,1766,770,445,2880,2526,3026,0,2,2,447,719,,
ABW,1991,934,516,225,1616,1481,1747,1905,832,484,3108,2731,3267,0,2,2,514,777,0,
ABW,1992,1030,573,254,1789,1659,1920,2009,887,508,3285,2879,3459,0,2,2,564,828,0,
ABW,1993,1184,638,293,2043,1913,2169,2179,938,543,3540,3104,3712,0,2,2,625,876,0,
ABW,1994,1303,734,299,2251,1990,2495,2337,1023,607,3819,3372,4016,0,2,2,753,955,0,
ABW,1995,1342,762,352,2358,2261,2477,2359,1077,590,3888,3381,4117,0,2,2,723,1005,0,
ABW,1996,1486,727,372,2515,2423,2588,2529,1009,603,4027,3534,4168,0,2,2,700,942,0,
ABW,1997,1538,859,483,2660,2616,2873,2543,1171,745,4236,3817,4494,0,2,2,836,1093,0,
