countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,189.963191,114.018766,69.65126099999999,267.990905,325.313738,316.167742,257.3954095269315,147.1195106681211,80.13180988264104,467.8018932917153,472.7342598454269,440.5877981805637,.059063,1.79,1.79,108.291892,147.119518940867,,
ABW,1971,200.090287,120.097216,73.36440999999999,282.276689,342.656291,333.022062,280.7887145529914,160.4904627412214,87.41455118949783,510.3179020983458,515.6985889171142,480.6305083221015,.05944,1.79,1.79,114.065055,160.4904501543294,,
ABW,1972,210.755701,126.498761,77.274987,297.3251,360.921441,350.774853,306.3082082241384,175.076536760463,95.35919984131493,556.6980628204037,562.5677955718414,524.3124899736694,.05984,1.79,1.79,120.145037,175.0765368061268,,
ABW,1973,221.991177,133.24241,81.394538,313.174406,380.161823,369.474014,334.1469237396804,190.9884144309277,104.0259839329638,607.2934998462978,613.6966888891359,571.9645523591462,.060243,1.79,1.79,126.549975,190.988409248376,,
ABW,1974,233.827536,140.346876,85.73433199999999,329.86777,400.430937,389.169992,364.5156555237133,208.3463901589491,113.4801976253704,662.4871342439749,669.4721618435768,623.9474611599193,.060528,1.79,1.79,133.297688,208.3463897126255,,
ABW,1975,246.285763,147.824451,90.30243999999999,347.457154,421.768952,409.915927,397.6449431141864,227.281539050515,123.7939098924292,722.6972372537736,730.3172475552275,680.6547756913396,.060657,1.79,1.79,140.399482,227.2815586137386,,
ABW,1976,259.42084,155.70806,95.118329,365.974078,444.258715,431.767789,433.7845902759985,247.9386207299358,135.0453139083241,788.3795097708692,796.6922875040741,742.5159346101377,.060586,1.79,1.79,147.887256,247.9386238813317,,
ABW,1977,273.259629,164.014998,100.192056,385.479025,467.955967,454.784533,473.2083117843858,270.472345387037,147.3176394626851,860.0305268271659,869.0978833845377,809.9992891132246,.060366,1.79,1.79,155.777338,270.4723605456709,,
ABW,1978,287.7864,172.733608,105.519719,406.055481,492.850897,479.028257,516.2181121058418,295.0521613950917,160.7077457734005,938.1954992544538,948.0882053203268,883.6159006996476,.060103,1.79,1.79,164.056775,295.0521645042854,,
ABW,1979,303.180679,181.972411,111.162522,427.658911,519.18245,504.56437,563.1318995304287,321.872687660933,175.3154782705122,1023.462995785111,1034.255180255858,963.9231257564661,.05998,1.79,1.79,172.832924,321.8727068405175,,
ABW,1980,319.364991,191.690665,117.095585,450.455643,546.9052429999999,531.461766,614.3092253483808,351.1228154025738,191.2407789498207,1116.476192682531,1128.243978975642,1051.529156579912,.060096,1.79,1.79,182.064326,351.122853893918,,
ABW,1981,336.166625,201.770021,123.263531,474.612577,575.7675889999999,559.793013,670.1559602113248,383.0245115016382,208.6330187297569,1217.956169186302,1230.803414176076,1147.09713196557,.060567,1.79,1.79,191.630126,383.0245090090277,,
ABW,1982,354.482832,212.760789,129.966858,499.613246,606.9226249999999,589.634546,731.0394419042009,417.8689241306604,227.5991530493818,1328.644206147283,1342.655974649214,1251.350882647449,.061345,1.79,1.79,202.079995,417.8689641726111,,
ABW,1983,373.288535,224.071792,136.863263,526.399602,639.2758799999999,621.066876,797.4761867251565,455.8100157769995,248.2338838849381,1449.376965431421,1464.633609069013,1365.079654406868,.062201,1.79,1.79,212.823693,455.8100082911423,,
ABW,1984,392.062502,235.300266,143.785774,555.1375869999999,671.818442,654.174805,870.046154447559,497.197609272529,270.8886576529923,1581.168711118025,1597.885624310966,1489.144637153038,.062836,1.79,1.79,223.449391,497.1975974564189,,
ABW,1985,415.636615,249.455614,152.343513,582.796733,710.869954,689.047657,948.9334053250876,542.6010635572063,295.4836657731452,1724.804568670437,1742.98211871695,1624.48521262115,.063026,1.79,1.79,236.972764,542.6010992810582,,
ABW,1986,435.905984,261.742305,159.82678,615.687242,747.056232,725.7795169999999,1035.257799057864,591.5823076216067,322.0564846950841,1881.478763338681,1901.173271802509,1772.126159669388,.062644,1.79,1.79,248.605014,591.5822841837406,,
ABW,1987,518.590417,311.073218,190.346168,743.379836,890.2004909999999,872.808399,1202.2329620683,686.6528712084214,374.5866763446722,2184.446340689889,2207.843901797716,2057.056283881419,.061833,1.79,1.79,295.24898,686.6528879135997,,
ABW,1988,656.409092,393.994581,240.188144,893.984438,1116.460552,1067.598257,1424.860715200363,816.1908011291479,443.8314685125797,2591.083992979326,2618.129860195914,2440.669492271038,.061079,1.79,1.79,374.652822,816.1907302256169,,
ABW,1989,737.7984269999999,443.643046,270.795538,1065.181177,1272.289538,1244.59481,1599.136957502611,912.0459423193076,496.0491630812695,2905.203150271456,2934.991814459061,2736.718789790791,.061032,1.79,1.79,421.171282,912.0459042029731,,
ABW,1990,787.041296,470.591734,289.844473,1180.076614,1357.865235,1369.14794,1664.983968967882,949.5219141508745,521.1999268516062,3023.214090419519,3057.800988496369,2845.131331260165,.062149,1.79,1.79,445.648319,949.5218326425854,,
ABW,1991,1056.723533,635.341181,383.515286,1240.137899,1753.606023,1561.128328,1787.310419239423,1032.822524711431,556.275135968882,3258.224899274494,3289.563286435354,3071.685539222884,.064622,1.79,1.79,607.119821,1032.82251909874,.029219,
ABW,1992,903.578904,546.74376,335.185316,1563.378025,1632.787954,1715.649128,1905.591944462027,1072.672306004575,583.7451742658448,3451.978799578142,3485.463504980257,3252.372940168639,.068235,1.79,1.79,516.083887,1072.672350202545,.031226246,
ABW,1993,1009.887909,592.179626,376.184254,1706.07662,1745.225588,1938.533677,2051.586183428094,1169.707041971433,659.5831729301235,3719.255557601497,3774.998030131369,3490.046054237755,.072504,1.79,1.79,555.9167219999999,1169.707162694869,.03357685,
