costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,countrycode,naics,sic,year,intan,ppegt,ppent,cogs,dvt,oibdp,sale,xad,xlr,xrd,xsga,csho,emp,mkvalt,naicsh,prcc_f,sich,isin,loc,xopr,cshoi,duplicate,valuePPP_exp,valuePPP_gdp,country_name,unitofmeasure,country,pop,avh,hc,rgdpna,rnna,gdppc,lngdppc,rel_gdppc,v_gdp,_merge,ind2d,nrind2,ind3d,nrind3,ind4d,nrind4,sale_cogs_ratio,theta_c,n,theta_CDs,theta_WI1_ct,theta_WI2_ct,theta_WI2_xt,theta_WI1_kt,theta_WI2_kt,theta_Wtime,theta_CM1_ct,theta_CM2_ct,theta_CM2_xt,theta_CM1_kt,theta_CM2_kt,theta_pass,countryind
,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,2,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,
,,,,,,,,,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,2,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,
,,,,,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,2,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,
,,,,,,,,,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,2,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,
,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,2,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,
I,USD,STD,INDL,C,10884.0,31dec1960,CHIQUITA BRANDS INTL INC,USA,111339.0,100.0,1960,0.0,455.3,197.7,246.7,6.53,20.1,304.4,,,,37.6,8.706,60.2,,,,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,183.0890364229614,1968.41,2.7212505,3856027.5,14692825.0,21009.863,9.9527473,1.2004859,541988.5617306574,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.2338873,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1960,NABISCO INC,USA,115210.0,2000.0,1960,5.79,218.7,120.1,279.71,17.7,67.4,451.8,,149.97,,104.69,6.386,28.0,,,,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,183.0890364229614,1968.41,2.7212505,3856027.5,14692825.0,21009.863,9.9527473,1.2004859,541988.5617306574,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.6152444,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,30apr1961,DOLE FOOD CO INC,USA,111339.0,100.0,1960,0.0,22.9,12.3,18.086,1.57,4.91,30.6,,,,7.604,1.598,0.2,,,,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,183.0890364229614,1968.41,2.7212505,3856027.5,14692825.0,21009.863,9.9527473,1.2004859,541988.5617306574,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.6919163,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10971.0,31oct1960,U S SUGAR CORP,USA,111.0,100.0,1960,0.013,20.7,11.4,11.58,1.38,8.02,20.6,,,,1.0,1.53,2.3,,,,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,183.0890364229614,1968.41,2.7212505,3856027.5,14692825.0,21009.863,9.9527473,1.2004859,541988.5617306574,Matched (3),11,1.0,111.0,18.0,111.0,18.0,1.7789292,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1961,NABISCO INC,USA,115210.0,2000.0,1961,5.618,234.0,125.3,294.51,20.6,69.75,486.3,,157.63,,122.04,6.746,26.0,,,,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,186.1494438068634,1953.61,2.7555552,3954515.3,15163884.0,21194.098,9.9614782,1.211013,561940.2854158487,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.6512172,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
